[Mon Jul 11 23:32:16.614479 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  56. Illuminate\\Routing\\ControllerDispatcher->call() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:94, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614498 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  57. Illuminate\\Routing\\Controller->callAction() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:146, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614515 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  58. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:80, referer: http://laravel.local/
[Mon Jul 11 23:32:16.614534 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP  59. App\\Http\\Controllers\\PostController->ajax() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:80, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737523 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP Fatal error:  Class 'App\\Http\\Controllers\\DB' not found in /home/alex/Hosts/laravel.local/app/Http/Controllers/PostController.php on line 25, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737618 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP Stack trace:, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737656 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   1. {main}() /home/alex/Hosts/laravel.local/public/index.php:0, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737707 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/alex/Hosts/laravel.local/public/index.php:54, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737731 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737752 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   4. Illuminate\\Pipeline\\Pipeline->then() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737771 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   5. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737791 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737809 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   7. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737829 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   8. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737847 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP   9. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737867 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\CheckForMaintenanceMode->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737888 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  11. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737908 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  12. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737928 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  13. Illuminate\\Foundation\\Http\\Kernel->Illuminate\\Foundation\\Http\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737947 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  14. Illuminate\\Routing\\Router->dispatch() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737967 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  15. Illuminate\\Routing\\Router->dispatchToRoute() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675, referer: http://laravel.local/
[Mon Jul 11 23:32:17.737986 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  16. Illuminate\\Routing\\Router->runRouteWithinStack() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Router.php:699, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738005 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  17. Illuminate\\Pipeline\\Pipeline->then() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Router.php:726, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738033 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  18. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738053 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  19. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738071 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  20. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738091 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  21. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738109 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  22. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738128 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  23. Illuminate\\Cookie\\Middleware\\EncryptCookies->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738149 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  24. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738167 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  25. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738218 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  26. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738238 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  27. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738258 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  28. Illuminate\\Cookie\\Middleware\\AddQueuedCookiesToResponse->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738279 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  29. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738297 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  30. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738316 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  31. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738334 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  32. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738364 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  33. Illuminate\\Session\\Middleware\\StartSession->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738385 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  34. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738403 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  35. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738422 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  36. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738440 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  37. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
[Mon Jul 11 23:32:17.738459 2016] [:error] [pid 1206] [client 127.0.0.1:53792] PHP  38. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
